System Starting Up...
The Current Data Values  (Launching) are:	Height: 000013	Velocity: 000102	Acceleration: -00394	Pressure: 000004	The time is: 14:43:50	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000012	Velocity: 000120	Acceleration: 000421	Pressure: 000009	The time is: 14:43:50	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000019	Velocity: 000127	Acceleration: 000130	Pressure: 000034	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000020	Velocity: 000120	Acceleration: -00135	Pressure: 000022	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000020	Velocity: 000153	Acceleration: 000638	Pressure: 000019	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000020	Velocity: 000101	Acceleration: -00993	Pressure: 000021	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000019	Velocity: 000104	Acceleration: 000058	Pressure: 000015	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000019	Velocity: 000108	Acceleration: 000095	Pressure: 000020	The time is: 14:43:51	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000016	Velocity: 000114	Acceleration: 000115	Pressure: 000009	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000017	Velocity: 000116	Acceleration: 000044	Pressure: 000020	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000020	Velocity: 000120	Acceleration: 000073	Pressure: 000027	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000021	Velocity: 000123	Acceleration: 000061	Pressure: 000023	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000021	Velocity: 000122	Acceleration: -00025	Pressure: 000019	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Launching) are:	Height: 000020	Velocity: 000124	Acceleration: 000044	Pressure: 000019	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000022	Velocity: 000131	Acceleration: 000103	Pressure: 000027	The time is: 14:43:52	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000019	Velocity: 000133	Acceleration: 000044	Pressure: 000014	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000022	Velocity: 000137	Acceleration: 000075	Pressure: 000026	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000020	Velocity: 000141	Acceleration: 000054	Pressure: 000018	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000019	Velocity: 000143	Acceleration: 000032	Pressure: 000017	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000018	Velocity: 000146	Acceleration: 000063	Pressure: 000017	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000023	Velocity: 000149	Acceleration: 000033	Pressure: 000031	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000021	Velocity: 000153	Acceleration: 000062	Pressure: 000017	The time is: 14:43:53	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000022	Velocity: 000159	Acceleration: 000115	Pressure: 000024	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000018	Velocity: 000164	Acceleration: 000071	Pressure: 000009	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000019	Velocity: 000170	Acceleration: 000081	Pressure: 000022	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000021	Velocity: 000175	Acceleration: 000089	Pressure: 000025	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000024	Velocity: 000181	Acceleration: 000084	Pressure: 000029	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000026	Velocity: 000188	Acceleration: 000113	Pressure: 000029	The time is: 14:43:54	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000027	Velocity: 000194	Acceleration: 000092	Pressure: 000029	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000029	Velocity: 000199	Acceleration: 000071	Pressure: 000033	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000031	Velocity: 000206	Acceleration: 000114	Pressure: 000034	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000030	Velocity: 000213	Acceleration: 000111	Pressure: 000030	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000026	Velocity: 000217	Acceleration: 000072	Pressure: 000017	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000027	Velocity: 000224	Acceleration: 000092	Pressure: 000029	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000028	Velocity: 000231	Acceleration: 000125	Pressure: 000030	The time is: 14:43:55	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000032	Velocity: 000245	Acceleration: 000224	Pressure: 000039	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000031	Velocity: 000259	Acceleration: 000262	Pressure: 000030	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000035	Velocity: 000264	Acceleration: 000073	Pressure: 000042	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000033	Velocity: 000368	Acceleration: 001952	Pressure: 000028	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000029	Velocity: 000380	Acceleration: 000191	Pressure: 000021	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000021	Velocity: 000396	Acceleration: 000264	Pressure: 000005	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000023	Velocity: 000402	Acceleration: 000130	Pressure: 000027	The time is: 14:43:56	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000024	Velocity: 000403	Acceleration: 000000	Pressure: 000025	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000028	Velocity: 000415	Acceleration: 000191	Pressure: 000035	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000028	Velocity: 000422	Acceleration: 000112	Pressure: 000028	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000029	Velocity: 000422	Acceleration: 000001	Pressure: 000032	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000031	Velocity: 000441	Acceleration: 000321	Pressure: 000036	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000031	Velocity: 000449	Acceleration: 000125	Pressure: 000032	The time is: 14:43:57	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000030	Velocity: 000441	Acceleration: -00135	Pressure: 000027	The time is: 14:43:58	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000026	Velocity: 000464	Acceleration: 000389	Pressure: 000017	The time is: 14:43:58	The date is: 28/04/2018
The Current Data Values  (Braking) are:	Height: 000026	Velocity: 000484	Acceleration: 000320	Pressure: 000027	The time is: 14:43:58	The date is: 28/04/2018
